Accesion,Length,Hit_identity,Hit_score,E-value,Definition,EC number
WP_013068732,958,958,1987.62,0,formate dehydrogenase subunit alpha [Rhodobacter capsulatus] >pdb|6TG9|A Cryo-EM Structure of NADH reduced form of NAD+-dependent Formate Dehydrogenase from Rhodobacter capsulatus [Rhodobacter capsulatus Y262] >pdb|6TG9|E Cryo-EM Structure of NADH reduced form of NAD+-dependent Formate Dehydrogenase from Rhodobacter capsulatus [Rhodobacter capsulatus Y262] >pdb|6TGA|A Cryo-EM Structure of as isolated form of NAD+-dependent Formate Dehydrogenase from Rhodobacter capsulatus [Rhodobacter capsulatus] >pdb|6TGA|E Cryo-EM Structure of as isolated form of NAD+-dependent Formate Dehydrogenase from Rhodobacter capsulatus [Rhodobacter capsulatus] >gb|ADE86759.1| NAD-dependent formate dehydrogenase, alpha subunit [Rhodobacter capsulatus SB 1003] >gb|ETD00318.1| formate dehydrogenase subunit alpha [Rhodobacter capsulatus DE442] >gb|ETD74658.1| formate dehydrogenase subunit alpha [Rhodobacter capsulatus R121] >gb|ETE52521.1| formate dehydrogenase subunit alpha [Rhodobacter capsulatus Y262] >gb|TQD35928.1| formate dehydrogenase subunit alpha [Rhodobacter capsulatus],1.17.1.9
WP_023920706,958,952,1979.53,0,formate dehydrogenase subunit alpha [Rhodobacter capsulatus] >gb|ETD87414.1| formate dehydrogenase subunit alpha [Rhodobacter capsulatus B6],1.17.1.9
WP_023918761,958,950,1973.75,0,formate dehydrogenase subunit alpha [Rhodobacter capsulatus] >gb|ETD88771.1| formate dehydrogenase subunit alpha [Rhodobacter capsulatus YW2],1.17.1.9
WP_023913603,958,946,1966.43,0,formate dehydrogenase subunit alpha [Rhodobacter capsulatus] >gb|ETD83812.1| formate dehydrogenase subunit alpha [Rhodobacter capsulatus YW1],1.17.1.9
WP_136906410,958,930,1940.24,0,formate dehydrogenase subunit alpha [Rhodobacter capsulatus] >gb|TKD18312.1| formate dehydrogenase subunit alpha [Rhodobacter capsulatus],1.17.1.9
WP_055212268,958,926,1935.23,0,formate dehydrogenase subunit alpha [Rhodobacter capsulatus] >gb|KQB12888.1| formate dehydrogenase [Rhodobacter capsulatus] >gb|KQB13064.1| formate dehydrogenase [Rhodobacter capsulatus] >gb|PZX28512.1| formate dehydrogenase alpha subunit [Rhodobacter capsulatus] >gb|QNR62789.1| formate dehydrogenase subunit alpha [Rhodobacter capsulatus],1.17.1.9
WP_074554936,958,927,1934.07,0,formate dehydrogenase subunit alpha [Rhodobacter capsulatus] >emb|SDF65830.1| formate dehydrogenase alpha subunit [Rhodobacter capsulatus],1.17.1.9
WP_110805792,958,899,1860.88,0,formate dehydrogenase subunit alpha [Rhodobacter viridis] >gb|PYF09674.1| formate dehydrogenase alpha subunit [Rhodobacter viridis],1.17.1.9
WP_076483921,958,858,1759.96,0,formate dehydrogenase subunit alpha [Rhodobacter aestuarii] >gb|PTV95749.1| formate dehydrogenase alpha subunit [Rhodobacter aestuarii] >emb|SIS59583.1| formate dehydrogenase alpha subunit [Rhodobacter aestuarii],1.17.1.9
WP_097082878,958,858,1758.81,0,formate dehydrogenase subunit alpha [Rhodobacter sp. JA431] >emb|SOC17518.1| formate dehydrogenase alpha subunit [Rhodobacter sp. JA431],1.17.1.9
